Date,City,Population_Millions,PM2_5,AQI,AQI_Category,Respiratory_Admissions_per_100k,Respiratory_Admissions_EstCases,Cardiovascular_Admissions_per_100k,Cardiovascular_Admissions_EstCases,Asthma_ER_Visits_per_100k,Asthma_ER_Visits_EstCases,Mortality_per_100k,Mortality_EstCases,Health_Risk_Index,City Code
20-01-2015,Bengaluru,13.2,52.3,87,Satisfactory,2.284,301,3.459,457,1.468,194,0.246,32,28.6,KA002
21-01-2015,Bengaluru,13.2,55.7,93,Satisfactory,2.456,324,3.22,425,1.635,216,0.271,36,30.2,KA002
22-01-2015,Bengaluru,13.2,50.1,83,Satisfactory,2.444,323,2.941,388,1.673,221,0.242,32,28.8,KA002
23-01-2015,Bengaluru,13.2,37.3,62,Satisfactory,2.136,282,2.73,360,1.465,193,0.221,29,25.9,KA002
24-01-2015,Bengaluru,13.2,43.7,72,Satisfactory,2.384,315,3.283,433,1.451,191,0.234,31,28.1,KA002
25-01-2015,Bengaluru,13.2,68.3,126,Moderate,2.342,309,3.145,415,1.638,216,0.279,37,30,KA002
26-01-2015,Bengaluru,13.2,52.4,87,Satisfactory,2.281,301,3.097,409,1.61,212,0.237,31,28.2,KA002
27-01-2015,Bengaluru,13.2,64.2,112,Moderate,2.373,313,3.464,457,1.607,212,0.243,32,29.4,KA002
28-01-2015,Bengaluru,13.2,57.2,95,Satisfactory,2.266,299,3.194,422,1.618,214,0.239,32,28.5,KA002
29-01-2015,Bengaluru,13.2,48.8,81,Satisfactory,2.219,293,3.123,412,1.443,191,0.236,31,27.3,KA002
30-01-2015,Bengaluru,13.2,49.3,82,Satisfactory,2.415,319,3.213,424,1.591,210,0.231,30,28.6,KA002
31-01-2015,Bengaluru,13.2,46.8,78,Satisfactory,2.061,272,3.452,456,1.623,214,0.23,30,28.1,KA002
01-02-2015,Bengaluru,13.2,34.5,57,Satisfactory,2.07,273,3.16,417,1.524,201,0.227,30,27,KA002
02-02-2015,Bengaluru,13.2,47.2,78,Satisfactory,2.363,312,2.761,364,1.481,195,0.242,32,27.4,KA002
03-02-2015,Bengaluru,13.2,55.7,93,Satisfactory,2.301,304,3.055,403,1.437,190,0.226,30,27.1,KA002
04-02-2015,Bengaluru,13.2,42.7,71,Satisfactory,2.383,315,3.097,409,1.543,204,0.232,31,28.1,KA002
05-02-2015,Bengaluru,13.2,49.9,83,Satisfactory,2.333,308,3.35,442,1.512,200,0.26,34,29.2,KA002
06-02-2015,Bengaluru,13.2,53.1,88,Satisfactory,2.115,279,2.962,391,1.733,229,0.242,32,28.2,KA002
07-02-2015,Bengaluru,13.2,40.4,67,Satisfactory,2.247,297,3.168,418,1.654,218,0.218,29,27.8,KA002
08-02-2015,Bengaluru,13.2,43.6,72,Satisfactory,2.326,307,3.14,414,1.366,180,0.261,35,28.1,KA002
09-02-2015,Bengaluru,13.2,39.5,65,Satisfactory,2.266,299,3.327,439,1.496,198,0.229,30,27.9,KA002
10-02-2015,Bengaluru,13.2,40.9,68,Satisfactory,2.178,287,2.954,390,1.457,192,0.226,30,26.6,KA002
11-02-2015,Bengaluru,13.2,37.5,62,Satisfactory,2.188,289,3.158,417,1.404,185,0.232,31,27,KA002
12-02-2015,Bengaluru,13.2,40.3,67,Satisfactory,2.163,285,3.428,453,1.508,199,0.22,29,27.5,KA002
13-02-2015,Bengaluru,13.2,57,95,Satisfactory,2.134,282,3.393,448,1.521,201,0.243,32,28.2,KA002
14-02-2015,Bengaluru,13.2,40.1,66,Satisfactory,2.041,269,3.251,429,1.44,190,0.225,30,26.7,KA002
15-02-2015,Bengaluru,13.2,47.6,79,Satisfactory,2.326,307,3.115,411,1.46,193,0.253,33,28.3,KA002
16-02-2015,Bengaluru,13.2,43,71,Satisfactory,2.133,282,3.181,420,1.658,219,0.249,33,28.6,KA002
17-02-2015,Bengaluru,13.2,55.1,92,Satisfactory,2.388,315,3.188,421,1.57,207,0.243,32,28.8,KA002
18-02-2015,Bengaluru,13.2,56,93,Satisfactory,2.23,294,3.38,446,1.586,209,0.232,31,28.4,KA002
19-02-2015,Bengaluru,13.2,52.8,88,Satisfactory,2.116,279,3.3,436,1.698,224,0.24,32,28.6,KA002
20-02-2015,Bengaluru,13.2,48.7,81,Satisfactory,2.222,293,3.06,404,1.531,202,0.234,31,27.5,KA002
21-02-2015,Bengaluru,13.2,44.8,74,Satisfactory,2.543,336,3.492,461,1.573,208,0.223,29,29.2,KA002
22-02-2015,Bengaluru,13.2,37.9,63,Satisfactory,2.214,292,3.354,443,1.448,191,0.232,31,27.7,KA002
23-02-2015,Bengaluru,13.2,60.4,500,Severe,2.425,320,3.067,405,1.564,206,0.277,37,29.7,KA002
24-02-2015,Bengaluru,13.2,40.9,68,Satisfactory,2.263,299,3.077,406,1.538,203,0.245,32,28.1,KA002
25-02-2015,Bengaluru,13.2,51.1,85,Satisfactory,2.096,277,3.16,417,1.59,210,0.24,32,27.8,KA002
26-02-2015,Bengaluru,13.2,53.9,90,Satisfactory,2.503,330,3.361,444,1.654,218,0.231,31,29.4,KA002
27-02-2015,Bengaluru,13.2,42.3,70,Satisfactory,2.214,292,2.996,395,1.631,215,0.243,32,28.1,KA002
28-02-2015,Bengaluru,13.2,53.7,89,Satisfactory,2.121,280,3.075,406,1.577,208,0.236,31,27.5,KA002
01-03-2015,Bengaluru,13.2,51.7,86,Satisfactory,2.222,293,3.362,444,1.675,221,0.219,29,28.3,KA002
02-03-2015,Bengaluru,13.2,58.6,98,Satisfactory,2.297,303,3.335,440,1.525,201,0.273,36,29.6,KA002
03-03-2015,Bengaluru,13.2,42.7,71,Satisfactory,2.35,310,2.782,367,1.599,211,0.218,29,27.1,KA002
04-03-2015,Bengaluru,13.2,36.8,61,Satisfactory,2.131,281,3.246,429,1.443,190,0.234,31,27.2,KA002
05-03-2015,Bengaluru,13.2,42.4,70,Satisfactory,2.601,343,2.871,379,1.469,194,0.224,30,27.6,KA002
06-03-2015,Bengaluru,13.2,47.5,79,Satisfactory,2.144,283,3.053,403,1.651,218,0.219,29,27.3,KA002
07-03-2015,Bengaluru,13.2,46.3,77,Satisfactory,2.35,310,3.099,409,1.342,177,0.224,30,26.8,KA002
08-03-2015,Bengaluru,13.2,43,71,Satisfactory,1.984,262,3.063,404,1.597,211,0.181,24,25.4,KA002
09-03-2015,Bengaluru,13.2,32.1,53,Satisfactory,2.183,288,2.98,393,1.507,199,0.2,26,26,KA002
10-03-2015,Bengaluru,13.2,49.1,82,Satisfactory,2.33,308,2.983,394,1.578,208,0.248,33,28.4,KA002
11-03-2015,Bengaluru,13.2,59.9,100,Satisfactory,2.175,287,3.333,440,1.766,233,0.249,33,29.5,KA002
12-03-2015,Bengaluru,13.2,49,81,Satisfactory,2.484,328,2.873,379,1.461,193,0.239,32,27.8,KA002
13-03-2015,Bengaluru,13.2,50,83,Satisfactory,2.344,309,3.084,407,1.455,192,0.251,33,28.2,KA002
14-03-2015,Bengaluru,13.2,49.7,83,Satisfactory,2.239,296,3.335,440,1.669,220,0.258,34,29.5,KA002
15-03-2015,Bengaluru,13.2,48.4,80,Satisfactory,2.334,308,3.254,429,1.539,203,0.253,33,28.9,KA002
16-03-2015,Bengaluru,13.2,52.2,87,Satisfactory,2.213,292,2.931,387,1.69,223,0.257,34,28.7,KA002
17-03-2015,Bengaluru,13.2,48.2,80,Satisfactory,2.446,323,2.809,371,1.62,214,0.22,29,27.6,KA002
18-03-2015,Bengaluru,13.2,43.1,71,Satisfactory,2.388,315,2.947,389,1.566,207,0.21,28,27.1,KA002
19-03-2015,Bengaluru,13.2,39.6,66,Satisfactory,2.285,302,2.726,360,1.502,198,0.201,27,25.8,KA002
20-03-2015,Bengaluru,13.2,43.4,72,Satisfactory,2.335,308,3.171,419,1.514,200,0.233,31,28,KA002
21-03-2015,Bengaluru,13.2,47.4,79,Satisfactory,2.07,273,3.086,407,1.74,230,0.251,33,28.6,KA002
22-03-2015,Bengaluru,13.2,42.8,71,Satisfactory,2.448,323,3.079,406,1.478,195,0.232,31,27.9,KA002
23-03-2015,Bengaluru,13.2,47.3,79,Satisfactory,2.258,298,3.27,432,1.651,218,0.239,32,28.8,KA002
24-03-2015,Bengaluru,13.2,48.2,80,Satisfactory,2.415,319,3.343,441,1.472,194,0.263,35,29.4,KA002
25-03-2015,Bengaluru,13.2,50.9,85,Satisfactory,2.391,316,3.235,427,1.486,196,0.248,33,28.6,KA002
26-03-2015,Bengaluru,13.2,54.1,90,Satisfactory,2.443,323,3.162,417,1.601,211,0.239,32,28.9,KA002
27-03-2015,Bengaluru,13.2,45.4,75,Satisfactory,2.12,280,3.03,400,1.532,202,0.205,27,26.2,KA002
28-03-2015,Bengaluru,13.2,35.4,58,Satisfactory,2.093,276,3.051,403,1.59,210,0.237,31,27.5,KA002
29-03-2015,Bengaluru,13.2,42.2,70,Satisfactory,2.55,337,3.188,421,1.507,199,0.226,30,28.4,KA002
30-03-2015,Bengaluru,13.2,45,75,Satisfactory,2.054,271,3.337,441,1.496,197,0.241,32,27.7,KA002
31-03-2015,Bengaluru,13.2,31.4,52,Satisfactory,2.052,271,2.84,375,1.373,181,0.191,25,24.4,KA002
01-04-2015,Bengaluru,13.2,54.5,91,Satisfactory,2.312,305,2.99,395,1.808,239,0.256,34,29.6,KA002
02-04-2015,Bengaluru,13.2,45.5,76,Satisfactory,2.269,299,3.163,418,1.409,186,0.232,31,27.3,KA002
03-04-2015,Bengaluru,13.2,47.2,78,Satisfactory,2.197,290,2.77,366,1.844,243,0.207,27,27.4,KA002
04-04-2015,Bengaluru,13.2,54.2,90,Satisfactory,2.389,315,3.261,430,1.648,218,0.227,30,28.7,KA002
05-04-2015,Bengaluru,13.2,39.8,66,Satisfactory,2.357,311,3.336,440,1.563,206,0.213,28,27.9,KA002
06-04-2015,Bengaluru,13.2,48.4,80,Satisfactory,2.274,300,3.628,479,1.418,187,0.226,30,28.1,KA002
07-04-2015,Bengaluru,13.2,43.4,72,Satisfactory,2.216,293,3.17,418,1.588,210,0.214,28,27.3,KA002
08-04-2015,Bengaluru,13.2,42.8,71,Satisfactory,2.247,297,3.314,437,1.392,184,0.227,30,27.3,KA002
09-04-2015,Bengaluru,13.2,38.5,64,Satisfactory,2.163,286,3.135,414,1.501,198,0.233,31,27.3,KA002
10-04-2015,Bengaluru,13.2,56,93,Satisfactory,2.077,274,3.527,466,1.697,224,0.256,34,29.5,KA002
11-04-2015,Bengaluru,13.2,41.2,68,Satisfactory,2.283,301,3.064,404,1.396,184,0.223,29,26.7,KA002
12-04-2015,Bengaluru,13.2,48.9,81,Satisfactory,2.383,315,3.243,428,1.622,214,0.248,33,29.2,KA002
13-04-2015,Bengaluru,13.2,30.3,500,Severe,2.171,287,3.205,423,1.45,191,0.249,33,27.8,KA002
14-04-2015,Bengaluru,13.2,52.2,87,Satisfactory,1.983,262,3.271,432,1.629,215,0.245,32,28,KA002
15-04-2015,Bengaluru,13.2,51.3,85,Satisfactory,2.212,292,3.044,402,1.445,191,0.223,29,26.7,KA002
16-04-2015,Bengaluru,13.2,44.3,73,Satisfactory,2.379,314,2.898,383,1.664,220,0.232,31,28.2,KA002
17-04-2015,Bengaluru,13.2,41.9,69,Satisfactory,2.052,271,3.34,441,1.595,210,0.23,30,27.8,KA002
18-04-2015,Bengaluru,13.2,46.4,77,Satisfactory,2.361,312,3.216,425,1.472,194,0.213,28,27.3,KA002
19-04-2015,Bengaluru,13.2,59.9,100,Satisfactory,2.27,300,3.248,429,1.535,203,0.263,35,29,KA002
20-04-2015,Bengaluru,13.2,30.7,500,Severe,2.191,289,3.26,430,1.597,211,0.208,27,27.3,KA002
21-04-2015,Bengaluru,13.2,48.9,81,Satisfactory,2.185,288,3.342,441,1.521,201,0.252,33,28.5,KA002
22-04-2015,Bengaluru,13.2,36.7,61,Satisfactory,2.07,273,3.19,421,1.432,189,0.221,29,26.5,KA002
23-04-2015,Bengaluru,13.2,43,71,Satisfactory,2.444,323,3.272,432,1.584,209,0.229,30,28.7,KA002
24-04-2015,Bengaluru,13.2,41.3,68,Satisfactory,2.352,311,3.045,402,1.587,210,0.242,32,28.4,KA002
25-04-2015,Bengaluru,13.2,40,66,Satisfactory,2.323,307,3.239,427,1.472,194,0.218,29,27.4,KA002
26-04-2015,Bengaluru,13.2,42.9,71,Satisfactory,2.373,313,2.855,377,1.667,220,0.213,28,27.5,KA002
27-04-2015,Bengaluru,13.2,34.8,57,Satisfactory,2.279,301,3.117,411,1.501,198,0.219,29,27.2,KA002
28-04-2015,Bengaluru,13.2,50.3,84,Satisfactory,2.415,319,3.33,440,1.653,218,0.217,29,28.6,KA002
29-04-2015,Bengaluru,13.2,29.9,50,Good,2.102,278,2.958,390,1.561,206,0.202,27,26,KA002
30-04-2015,Bengaluru,13.2,46.6,77,Satisfactory,2.455,324,3.196,422,1.428,188,0.25,33,28.6,KA002
01-05-2015,Bengaluru,13.2,40.3,67,Satisfactory,2.411,318,3.196,422,1.63,215,0.219,29,28.3,KA002
02-05-2015,Bengaluru,13.2,34.2,56,Satisfactory,2.26,298,2.945,389,1.59,210,0.222,29,27.3,KA002
03-05-2015,Bengaluru,13.2,44,73,Satisfactory,2.216,293,3.371,445,1.571,207,0.199,26,27.2,KA002
04-05-2015,Bengaluru,13.2,31.3,52,Satisfactory,2.035,269,3.157,417,1.271,168,0.224,30,25.7,KA002
05-05-2015,Bengaluru,13.2,42.7,71,Satisfactory,2.28,301,2.834,374,1.556,205,0.218,29,26.8,KA002
06-05-2015,Bengaluru,13.2,32.2,53,Satisfactory,2.423,320,3.118,412,1.409,186,0.208,27,26.8,KA002
07-05-2015,Bengaluru,13.2,45.7,76,Satisfactory,2.106,278,3.441,454,1.42,188,0.247,33,27.9,KA002
08-05-2015,Bengaluru,13.2,35.6,59,Satisfactory,2.351,310,3.117,411,1.49,197,0.223,29,27.5,KA002
09-05-2015,Bengaluru,13.2,39,65,Satisfactory,2.169,286,3.011,397,1.32,174,0.223,29,26,KA002
10-05-2015,Bengaluru,13.2,44.3,73,Satisfactory,2.205,291,3.055,403,1.532,202,0.233,31,27.4,KA002
11-05-2015,Bengaluru,13.2,36.5,60,Satisfactory,2.064,272,3.092,408,1.607,212,0.229,30,27.3,KA002
12-05-2015,Bengaluru,13.2,41.6,69,Satisfactory,2.143,283,2.917,385,1.58,209,0.227,30,27,KA002
13-05-2015,Bengaluru,13.2,31.1,51,Satisfactory,2.28,301,3.357,443,1.59,210,0.217,29,28,KA002
14-05-2015,Bengaluru,13.2,46.5,77,Satisfactory,2.372,313,3.345,441,1.521,201,0.216,29,27.9,KA002
15-05-2015,Bengaluru,13.2,54.6,91,Satisfactory,2.339,309,3.415,451,1.629,215,0.233,31,29,KA002
16-05-2015,Bengaluru,13.2,61.9,104,Moderate,2.271,300,2.95,389,1.513,200,0.244,32,27.7,KA002
17-05-2015,Bengaluru,13.2,42.4,70,Satisfactory,2.099,277,3.174,419,1.354,179,0.21,28,25.8,KA002
18-05-2015,Bengaluru,13.2,47.4,79,Satisfactory,2.28,301,3.378,446,1.451,192,0.24,32,28.2,KA002
19-05-2015,Bengaluru,13.2,28.9,48,Good,2.137,282,2.911,384,1.411,186,0.224,30,26.1,KA002
20-05-2015,Bengaluru,13.2,52.4,87,Satisfactory,2.325,307,3.183,420,1.503,198,0.247,33,28.4,KA002
21-05-2015,Bengaluru,13.2,47.2,78,Satisfactory,2.227,294,2.963,391,1.668,220,0.244,32,28.3,KA002
22-05-2015,Bengaluru,13.2,38,63,Satisfactory,2.188,289,3.285,434,1.5,198,0.235,31,27.8,KA002
23-05-2015,Bengaluru,13.2,50.4,84,Satisfactory,2.308,305,3.146,415,1.769,234,0.236,31,29.1,KA002
24-05-2015,Bengaluru,13.2,39.6,66,Satisfactory,2.282,301,3.119,412,1.66,219,0.22,29,27.9,KA002
25-05-2015,Bengaluru,13.2,38.1,63,Satisfactory,2.391,316,2.917,385,1.423,188,0.24,32,27.4,KA002
26-05-2015,Bengaluru,13.2,44.7,74,Satisfactory,2.213,292,3.454,456,1.638,216,0.215,28,28.2,KA002
27-05-2015,Bengaluru,13.2,33.6,55,Satisfactory,2.279,301,3.118,412,1.59,210,0.222,29,27.7,KA002
28-05-2015,Bengaluru,13.2,48.6,81,Satisfactory,2.524,333,3.33,440,1.526,201,0.241,32,29.2,KA002
29-05-2015,Bengaluru,13.2,33.6,55,Satisfactory,2.282,301,3.18,420,1.497,198,0.204,27,26.8,KA002
30-05-2015,Bengaluru,13.2,33.6,55,Satisfactory,2.361,312,2.939,388,1.436,190,0.234,31,27.3,KA002
31-05-2015,Bengaluru,13.2,34.5,57,Satisfactory,2.129,281,2.806,370,1.714,226,0.237,31,27.6,KA002
01-06-2015,Bengaluru,13.2,46.5,77,Satisfactory,2.169,286,3.132,413,1.701,225,0.247,33,28.7,KA002
02-06-2015,Bengaluru,13.2,36.6,60,Satisfactory,2.199,290,3.329,439,1.482,196,0.225,30,27.5,KA002
03-06-2015,Bengaluru,13.2,31.3,52,Satisfactory,2.189,289,2.731,361,1.625,215,0.211,28,26.4,KA002
04-06-2015,Bengaluru,13.2,36.6,60,Satisfactory,2.363,312,3.487,460,1.468,194,0.224,30,28.2,KA002
05-06-2015,Bengaluru,13.2,40.6,67,Satisfactory,2.141,283,3.298,435,1.612,213,0.25,33,28.7,KA002
06-06-2015,Bengaluru,13.2,32.3,53,Satisfactory,2.189,289,3.138,414,1.513,200,0.219,29,27,KA002
07-06-2015,Bengaluru,13.2,32.5,54,Satisfactory,2.344,309,3.081,407,1.483,196,0.214,28,27.1,KA002
08-06-2015,Bengaluru,13.2,56,93,Satisfactory,2.343,309,3.38,446,1.495,197,0.232,31,28.3,KA002
09-06-2015,Bengaluru,13.2,34.5,57,Satisfactory,2.209,292,2.884,381,1.447,191,0.212,28,26,KA002
10-06-2015,Bengaluru,13.2,38.4,64,Satisfactory,2.261,298,3.214,424,1.571,207,0.219,29,27.6,KA002
11-06-2015,Bengaluru,13.2,38,63,Satisfactory,2.077,274,3.187,421,1.521,201,0.228,30,27.1,KA002
12-06-2015,Bengaluru,13.2,37.6,62,Satisfactory,2.073,274,3.464,457,1.482,196,0.242,32,28,KA002
13-06-2015,Bengaluru,13.2,45.1,75,Satisfactory,2.045,270,3.093,408,1.679,222,0.243,32,28,KA002
14-06-2015,Bengaluru,13.2,47.4,79,Satisfactory,2.3,304,3.182,420,1.567,207,0.226,30,27.9,KA002
15-06-2015,Bengaluru,13.2,38.3,63,Satisfactory,2.351,310,3.118,412,1.516,200,0.218,29,27.4,KA002
16-06-2015,Bengaluru,13.2,31.6,52,Satisfactory,2.298,303,3.003,396,1.439,190,0.205,27,26.3,KA002
17-06-2015,Bengaluru,13.2,49.6,82,Satisfactory,2.439,322,3.466,458,1.592,210,0.252,33,29.9,KA002
18-06-2015,Bengaluru,13.2,39.7,66,Satisfactory,2.43,321,2.953,390,1.576,208,0.245,32,28.5,KA002
19-06-2015,Bengaluru,13.2,52.9,88,Satisfactory,2.318,306,2.908,384,1.593,210,0.25,33,28.3,KA002
20-06-2015,Bengaluru,13.2,24.2,40,Good,2.155,284,3.109,410,1.508,199,0.207,27,26.4,KA002
21-06-2015,Bengaluru,13.2,41.7,69,Satisfactory,2.443,323,3.009,397,1.469,194,0.214,28,27.1,KA002
22-06-2015,Bengaluru,13.2,54.1,90,Satisfactory,2.207,291,3.254,430,1.481,195,0.237,31,27.8,KA002
23-06-2015,Bengaluru,13.2,37.7,62,Satisfactory,2.068,273,3.246,428,1.489,197,0.229,30,27.1,KA002
24-06-2015,Bengaluru,13.2,38.6,64,Satisfactory,2.185,288,3.159,417,1.555,205,0.222,29,27.3,KA002
25-06-2015,Bengaluru,13.2,42.4,70,Satisfactory,2.186,289,3.154,416,1.628,215,0.223,29,27.7,KA002
26-06-2015,Bengaluru,13.2,36.2,60,Satisfactory,2.225,294,2.734,361,1.709,226,0.215,28,27,KA002
27-06-2015,Bengaluru,13.2,38,63,Satisfactory,2.114,279,3.234,427,1.573,208,0.231,31,27.7,KA002
28-06-2015,Bengaluru,13.2,37.7,62,Satisfactory,2.275,300,3.164,418,1.329,175,0.227,30,26.8,KA002
29-06-2015,Bengaluru,13.2,35.6,59,Satisfactory,2.14,283,3.468,458,1.61,212,0.198,26,27.3,KA002
30-06-2015,Bengaluru,13.2,49,81,Satisfactory,2.447,323,3.398,449,1.601,211,0.231,31,29.1,KA002
01-07-2015,Bengaluru,13.2,43.4,72,Satisfactory,2.091,276,2.874,379,1.473,194,0.237,31,26.6,KA002
02-07-2015,Bengaluru,13.2,41.9,69,Satisfactory,2.227,294,3.347,442,1.606,212,0.215,28,27.8,KA002
03-07-2015,Bengaluru,13.2,45.9,76,Satisfactory,2.219,293,2.919,385,1.587,210,0.221,29,27,KA002
04-07-2015,Bengaluru,13.2,38.2,63,Satisfactory,2.259,298,3.286,434,1.471,194,0.242,32,28.1,KA002
05-07-2015,Bengaluru,13.2,34.5,57,Satisfactory,2.334,308,3.384,447,1.51,199,0.249,33,28.9,KA002
06-07-2015,Bengaluru,13.2,35.7,59,Satisfactory,2.252,297,3.467,458,1.424,188,0.232,31,27.9,KA002
07-07-2015,Bengaluru,13.2,40.1,66,Satisfactory,2.22,293,3.064,404,1.505,199,0.222,29,27,KA002
08-07-2015,Bengaluru,13.2,32.4,53,Satisfactory,2.292,303,3.234,427,1.374,181,0.218,29,26.9,KA002
09-07-2015,Bengaluru,13.2,36.4,60,Satisfactory,2.332,308,3.31,437,1.546,204,0.243,32,28.7,KA002
10-07-2015,Bengaluru,13.2,36.3,60,Satisfactory,2.255,298,3.209,424,1.54,203,0.2,26,26.9,KA002
11-07-2015,Bengaluru,13.2,55.3,92,Satisfactory,2.363,312,2.889,381,1.697,224,0.259,34,29.1,KA002
12-07-2015,Bengaluru,13.2,20,33,Good,2.228,294,3.074,406,1.526,201,0.215,28,26.9,KA002
13-07-2015,Bengaluru,13.2,38.7,64,Satisfactory,2.01,265,3.239,428,1.457,192,0.23,30,26.8,KA002
14-07-2015,Bengaluru,13.2,52.4,87,Satisfactory,2.247,297,3.197,422,1.613,213,0.227,30,28,KA002
15-07-2015,Bengaluru,13.2,40.9,68,Satisfactory,2.291,302,2.98,393,1.565,207,0.233,31,27.7,KA002
16-07-2015,Bengaluru,13.2,45.4,75,Satisfactory,2.222,293,3.125,413,1.472,194,0.257,34,28.1,KA002
17-07-2015,Bengaluru,13.2,40.7,67,Satisfactory,2.201,291,3.311,437,1.609,212,0.233,31,28.3,KA002
18-07-2015,Bengaluru,13.2,35.2,58,Satisfactory,2.264,299,3.189,421,1.474,195,0.217,29,27.1,KA002
19-07-2015,Bengaluru,13.2,23.9,40,Good,2.214,292,3.149,416,1.399,185,0.226,30,26.8,KA002
20-07-2015,Bengaluru,13.2,41.5,69,Satisfactory,2.306,304,3.098,409,1.514,200,0.225,30,27.5,KA002
21-07-2015,Bengaluru,13.2,34.4,57,Satisfactory,2.105,278,3.191,421,1.347,178,0.209,28,25.8,KA002
22-07-2015,Bengaluru,13.2,34.3,57,Satisfactory,2.022,267,2.718,359,1.339,177,0.227,30,25.1,KA002
23-07-2015,Bengaluru,13.2,36.4,60,Satisfactory,2.327,307,3.113,411,1.56,206,0.215,28,27.4,KA002
24-07-2015,Bengaluru,13.2,52.6,87,Satisfactory,2.194,290,3.125,412,1.515,200,0.215,28,26.9,KA002
25-07-2015,Bengaluru,13.2,57.4,96,Satisfactory,2.207,291,3.226,426,1.481,196,0.245,32,28,KA002
26-07-2015,Bengaluru,13.2,41.6,69,Satisfactory,2.123,280,2.924,386,1.38,182,0.226,30,26,KA002
27-07-2015,Bengaluru,13.2,36.7,61,Satisfactory,2.375,313,3.192,421,1.394,184,0.24,32,27.8,KA002
28-07-2015,Bengaluru,13.2,31.6,52,Satisfactory,2.225,294,3.456,456,1.419,187,0.205,27,26.9,KA002
29-07-2015,Bengaluru,13.2,43.5,72,Satisfactory,2.299,304,3.17,418,1.354,179,0.247,33,27.6,KA002
30-07-2015,Bengaluru,13.2,52.9,88,Satisfactory,2.393,316,3.208,423,1.641,217,0.246,33,29.2,KA002
31-07-2015,Bengaluru,13.2,38.3,63,Satisfactory,2.223,293,3.601,475,1.553,205,0.204,27,27.8,KA002
01-08-2015,Bengaluru,13.2,23,38,Good,2.289,302,2.885,381,1.383,182,0.191,25,25.3,KA002
02-08-2015,Bengaluru,13.2,45,75,Satisfactory,2.098,277,3.256,430,1.665,220,0.245,32,28.5,KA002
03-08-2015,Bengaluru,13.2,47.3,79,Satisfactory,2.123,280,3.473,458,1.488,196,0.229,30,27.7,KA002
04-08-2015,Bengaluru,13.2,28.8,48,Good,2.035,269,3.014,398,1.472,194,0.204,27,25.6,KA002
05-08-2015,Bengaluru,13.2,41.5,69,Satisfactory,2.3,304,3.306,436,1.651,218,0.221,29,28.4,KA002
06-08-2015,Bengaluru,13.2,43.5,72,Satisfactory,2.322,306,3.186,421,1.506,199,0.243,32,28.3,KA002
07-08-2015,Bengaluru,13.2,39.7,66,Satisfactory,2.172,287,2.934,387,1.594,210,0.22,29,26.9,KA002
